378,ALPINE,35,2010,42.3756,-76.7327
379,ALPINE,43,2475,36.3647,-85.1899
380,ALPINE,44,2525,30.3972,-103.682
381,ALPINE,45,2779,40.4591,-111.773
382,ALPINE,51,3109,43.0303,-110.885
383,ALPLAUS,35,2008,42.8592,-73.9021
384,ALSEA,38,2190,44.3771,-123.588
385,ALSEN,29,1745,48.7718,-98.4641
386,ALSIP,15,692,41.8119,-87.6873
387,ALSTEAD,31,1884,43.1344,-72.3106
388,ALTA,13,544,42.7354,-95.1511
389,ALTA VISTA,13,552,43.1399,-92.4247
390,ALTA VISTA,17,969,38.8645,-96.4881
391,ALTADENA,5,191,33.7866,-118.299
392,ALTAMONT,15,701,39.0534,-88.7198
393,ALTAMONT,17,920,37.2226,-95.3608
394,ALTAMONT,25,1414,39.8933,-94.0909
395,ALTAMONT,35,1962,42.6887,-74.0306
396,ALTAMONT,43,2439,35.3603,-85.7897
397,ALTAMONT,45,2761,40.3207,-110.436
398,ALTAMONTE SPRINGS,10,362,28.7111,-81.273
399,ALTAVILLE,5,177,38.0923,-120.535
400,ALTAVISTA,46,2802,37.2255,-79.2412
401,ALTENBURG,25,1462,37.6279,-89.5745
402,ALTHA,10,310,30.5532,-85.1713
403,ALTHEIMER,3,117,34.2843,-91.698
404,ALTMAR,35,1999,43.4975,-75.9882
405,ALTO,11,438,34.5043,-83.5948
406,ALTO,23,1254,42.8561,-85.4029
407,ALTO,44,2540,31.8067,-95.143
408,ALTO PASS,15,767,37.5465,-89.3579
409,ALTON,13,617,43.038,-95.9703
410,ALTON,15,733,38.9291,-89.9689
411,ALTON,17,941,39.4301,-98.9289
412,ALTON,25,1458,36.6929,-91.3971
413,ALTON,31,1882,43.4626,-71.2225
414,ALTON,46,2839,36.5968,-79.0431
415,ALTON BAY,31,1882,43.5025,-71.2774
416,ALTONA,15,724,41.0963,-90.1383
417,ALTONA,35,1971,44.8652,-73.5777
418,ALTONAH,45,2761,40.3207,-110.436
419,ALTOONA,2,43,34.071,-86.2096
420,ALTOONA,10,337,29.0591,-81.582
421,ALTOONA,13,610,41.651,-93.4685
422,ALTOONA,17,973,37.525,-95.6618
423,ALTOONA,39,2231,40.4998,-78.3809
424,ALTOONA,49,2988,44.8036,-91.4423
425,ALTURA,24,1381,44.0856,-91.9461
426,ALTURAS,5,197,41.434,-120.641
427,ALTUS,3,106,35.4346,-93.7598
428,ALTUS,37,2144,34.6934,-99.3321
429,ALTUS AFB,37,2144,34.5982,-99.4408
430,ALUM BANK,39,2229,40.1986,-78.6228
431,ALUM BRIDGE,50,3063,39.0908,-80.4707
432,ALUM CREEK,50,3062,38.2437,-81.7712
433,ALVA,10,338,26.5952,-81.6815
434,ALVA,37,2187,36.8266,-98.64
435,ALVA,51,3103,44.6873,-104.441
436,ALVADA,36,2097,41.0548,-83.3918
437,ALVARADO,24,1340,48.1911,-96.9984
438,ALVARADO,44,2628,32.421,-97.1963
439,ALVATON,18,1089,36.8667,-86.3485
440,ALVERTON,39,2289,40.3602,-79.4398
441,ALVIN,15,768,40.2855,-87.6327
442,ALVIN,44,2523,29.3503,-95.341
443,ALVO,30,1801,40.8853,-96.379
444,ALVORD,13,593,43.3527,-96.3118
445,ALVORD,44,2749,33.3558,-97.7084
446,ALVORDTON,36,2109,41.5778,-84.5841
447,ALZADA,27,1585,45.5671,-104.539
448,AMA,19,1140,29.947,-90.296
449,AMADO,4,170,31.6723,-111.099
450,AMAGON,3,116,35.5025,-91.0817
451,AMANA,13,581,41.8122,-91.9139
452,AMANDA,36,2046,39.6982,-82.6887
453,AMANDA PARK,48,2945,47.4859,-123.921
454,AMARGOSA VALLEY,34,1958,36.539,-116.55
457,AMAWALK,35,2021,41.2932,-73.759
458,AMAZONIA,25,1385,39.9084,-94.9235
459,AMBER,37,2137,35.0312,-97.882
460,AMBERG,49,3008,45.4928,-88.0496
461,AMBIA,16,782,40.5279,-87.4993
462,AMBLER,39,2270,40.1809,-75.2156
463,AMBOY,15,728,41.721,-89.2997
464,AMBOY,16,830,40.6505,-85.9436
465,AMBOY,24,1303,43.8869,-94.1584
